,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
33,Awbari,LY,62.76,33,0,11.1,26.59,12.77,1554676795
34,Salinopolis,BR,79.59,100,68,6.96,-0.61,-47.36,1554676798
35,Payakumbuh,ID,71.22,91,0,2.59,-0.23,100.63,1554676799
36,Severo-Kurilsk,RU,32.88,94,92,25.75,50.68,156.12,1554676800
37,Samarai,PG,78.15,100,76,4.94,-10.62,150.67,1554676802
38,Ullal,IN,84.2,74,40,3.36,12.8,74.85,1554672600
39,Atuona,PF,82.74,99,76,13.67,-9.8,-139.03,1554676805
40,Goksun,TR,53.6,87,75,5.82,38.02,36.5,1554673800
41,Baruun-Urt,MN,25.41,40,0,6.96,46.68,113.28,1554676809
42,Banjar,ID,73.47,97,56,2.37,-7.37,108.54,1554676518
43,Bull Savanna,JM,79.5,57,0,7.07,17.89,-77.59,1554676811
44,Arraial do Cabo,BR,81.84,81,0,21.05,-22.97,-42.02,1554676812
45,Geraldton,CA,30.2,80,90,21.92,49.72,-86.95,1554674400
46,Nauta,PE,77.88,80,68,8.19,-4.51,-73.58,1554676814
47,Hermanus,ZA,63.0,92,0,4.0,-34.42,19.24,1554676229
48,Nome,US,68.0,88,1,8.05,30.04,-94.42,1554676773
49,New Norfolk,AU,55.0,61,40,5.82,-42.78,147.06,1554676815
50,Butaritari,KI,82.02,100,80,14.23,3.07,172.79,1554676819
51,Rikitea,PF,77.25,100,0,5.5,-23.12,-134.97,1554676820
52,Busselton,AU,51.01,65,0,12.33,-33.64,115.35,1554676811
53,Ponta do Sol,BR,67.17,95,92,2.37,-20.63,-46.0,1554676822
54,Beringovskiy,RU,11.91,98,64,26.08,63.05,179.32,1554676824
55,Cabo San Lucas,MX,82.0,47,5,11.41,22.89,-109.91,1554676521
56,Wladyslawowo,PL,39.99,88,0,1.12,54.79,18.4,1554676759
57,Lata,IN,44.94,76,24,2.37,30.78,78.62,1554676829
58,East London,ZA,71.85,100,44,20.27,-33.02,27.91,1554676830
59,Harboore,DK,44.01,80,0,5.82,56.62,8.18,1554676805
60,Tangshan,CN,47.1,38,76,14.0,39.63,118.17,1554676834
61,Aleksandrov Gay,RU,42.51,100,92,4.16,50.14,48.57,1554676835
62,Severnyy-Kospashskiy,RU,37.99,57,92,3.0,59.09,57.8,1554676677
63,Punta Arenas,CL,46.4,61,75,10.29,-53.16,-70.91,1554674400
64,Bredasdorp,ZA,63.0,93,0,3.36,-34.53,20.04,1554676229
65,Kodiak,US,72.0,72,75,10.29,39.95,-94.76,1554676750
66,Sitka,US,75.99,26,0,7.0,37.17,-99.65,1554676286
67,Leningradskiy,RU,3.72,100,12,1.7,69.38,178.42,1554676842
68,Tiksi,RU,27.12,73,64,12.44,71.64,128.87,1554676704
69,Codrington,AU,73.99,100,40,8.05,-28.95,153.24,1554676764
70,Palana,RU,31.8,67,0,9.19,59.08,159.95,1554676845
71,Turukhansk,RU,24.51,92,92,14.23,65.8,87.96,1554676847
72,Chapais,CA,26.6,35,1,9.17,49.78,-74.86,1554674400
73,Norman Wells,CA,30.2,68,90,6.93,65.28,-126.83,1554674400
74,Charters Towers,AU,74.91,82,0,7.74,-20.07,146.27,1554676850
75,Longyearbyen,NO,5.0,92,20,8.05,78.22,15.63,1554673800
76,Faanui,PF,84.54,100,56,16.35,-16.48,-151.75,1554676853
77,Samoded,RU,25.59,79,24,2.15,63.61,40.52,1554676854
78,Ushuaia,AR,39.2,91,40,8.05,-54.81,-68.31,1554674400
79,Naze,NG,78.51,84,68,4.94,5.43,7.07,1554676857
80,Saint-Pierre,FR,50.0,87,90,6.93,48.95,4.24,1554676678
81,Shar,NG,82.83,70,44,11.65,7.3,8.73,1554676861
82,Qaanaaq,GL,22.08,85,80,13.0,77.48,-69.36,1554676864
83,Tautira,PF,87.8,70,20,8.05,-17.73,-149.15,1554674400
84,Riyadh,SA,75.2,47,40,3.83,24.63,46.72,1554674400
85,Ribeira Grande,PT,59.43,98,76,16.91,38.52,-28.7,1554676868
86,Georgetown,GY,86.0,66,20,9.17,6.8,-58.16,1554670800
87,Mahebourg,MU,80.6,78,20,11.41,-20.41,57.7,1554676739
88,Banda Aceh,ID,76.17,99,24,2.48,5.56,95.32,1554676807
89,Srednekolymsk,RU,14.97,76,12,3.15,67.46,153.71,1554676874
90,Meiganga,CM,64.29,97,56,0.92,6.52,14.29,1554676875
91,Sinnamary,GF,80.22,93,92,12.66,5.38,-52.96,1554676878
92,Boguchany,RU,23.34,67,0,5.06,58.38,97.46,1554676880
93,Saskylakh,RU,12.99,75,0,7.4,71.97,114.09,1554676881
94,Nikolskoye,RU,41.0,64,90,6.71,59.7,30.79,1554676836
95,Praia da Vitoria,PT,55.4,71,40,23.17,38.73,-27.07,1554676224
96,Falmouth,GB,53.01,93,12,10.29,50.16,-5.07,1554676841
97,Oxapampa,PE,51.42,98,48,1.36,-10.58,-75.4,1554676887
98,Talara,PE,62.6,290,0,8.05,-4.58,-81.27,1554674400
99,Jos,NG,74.64,65,76,3.38,9.92,8.9,1554676891
100,Teya,MX,97.0,30,75,16.11,21.05,-89.07,1554676239
101,Rundu,NA,64.11,86,68,6.73,-17.91,19.77,1554676780
102,Povenets,RU,23.25,75,64,2.82,62.85,34.83,1554676895
103,Lovozero,RU,24.24,85,92,3.94,68.01,35.02,1554676896
104,Dongli,CN,70.32,92,56,3.27,24.18,117.61,1554676898
105,Labuhan,ID,75.18,95,76,2.15,-2.54,115.51,1554676899
106,Avarua,CK,84.2,74,0,14.99,-21.21,-159.78,1554674400
107,Flinders,AU,71.01,63,0,1.01,-34.58,150.85,1554676636
108,Santa Maria,BR,69.8,94,75,2.24,-29.69,-53.81,1554670800
109,Lompoc,US,78.8,68,1,21.92,34.64,-120.46,1554676809
110,Vagay,RU,26.13,81,0,6.4,57.94,69.02,1554676905
111,Torbay,CA,34.0,85,75,8.05,47.66,-52.73,1554676703
112,Yellowknife,CA,30.99,80,90,10.29,62.45,-114.38,1554676677
113,Gracac,RS,53.6,62,0,8.05,43.65,20.83,1554674400
114,Upernavik,GL,28.56,83,56,12.77,72.79,-56.15,1554676910
115,Jamestown,AU,62.67,67,0,4.5,-33.21,138.6,1554676912
116,Hithadhoo,MV,84.72,100,88,4.72,-0.6,73.08,1554676913
117,Bluff,AU,78.6,55,0,6.29,-23.58,149.07,1554676914
118,Casa Grande,US,91.0,16,1,6.93,32.88,-111.76,1554676883
119,Lalibela,ET,48.09,89,44,2.37,12.04,39.05,1554676916
120,Kabinda,CD,70.23,96,56,7.29,-6.14,24.49,1554676918
121,Mataura,NZ,55.99,76,0,4.83,-46.19,168.86,1554676807
122,Avera,US,82.4,57,40,6.93,33.19,-82.53,1554676864
123,Campo Maior,ES,54.0,91,92,8.99,39.01,-7.07,1554676886
124,Mahibadhoo,MV,84.27,100,92,2.15,3.78,72.97,1554676924
125,Saint-Philippe,CA,50.0,61,90,8.05,45.36,-73.48,1554676881
126,Tuktoyaktuk,CA,10.4,78,75,9.17,69.44,-133.03,1554674400
127,Akniste,LV,38.64,80,0,2.82,56.16,25.75,1554676928
128,Westport,IE,46.99,83,56,3.0,53.8,-9.52,1554676923
129,Nemuro,JP,34.59,95,0,11.65,43.32,145.57,1554676931
130,Jiangkou,CN,70.32,81,0,4.38,30.7,117.56,1554676932
131,Loma Bonita,MX,100.0,40,24,3.0,18.11,-95.88,1554675375
132,Prince Rupert,CA,46.4,87,90,13.87,54.32,-130.32,1554674400
133,Port Hawkesbury,CA,35.6,43,75,11.41,45.62,-61.36,1554676857
134,Vrangel,RU,37.02,97,92,8.3,42.73,133.08,1554676937
135,Naron,ES,54.0,93,40,6.93,43.52,-8.15,1554676742
136,Mount Isa,AU,73.4,56,0,6.93,-20.73,139.49,1554672600
137,Saldanha,PT,47.82,97,92,8.75,41.42,-6.55,1554676940
138,Puerto Ayora,EC,86.0,66,20,14.99,-0.74,-90.35,1554676324
139,Lusambo,CD,72.57,97,44,2.15,-4.97,23.44,1554676942
140,Onega,RU,27.57,76,36,3.71,63.91,38.09,1554676944
141,Maldonado,UY,60.8,72,0,3.36,-34.91,-54.96,1554674400
142,Alugan,PH,77.16,100,88,7.29,12.22,125.48,1554676947
143,Castle Douglas,GB,48.99,87,20,3.0,54.94,-3.92,1554676689
144,Linhai,CN,64.0,74,8,1.7,28.86,121.14,1554676839
145,Carnarvon,ZA,55.92,85,56,11.65,-30.97,22.13,1554676952
146,Katherine,AU,75.2,94,90,9.17,-14.47,132.26,1554672600
147,Ketchikan,US,48.2,87,90,23.04,55.34,-131.65,1554674160
148,Masterton,NZ,61.0,79,92,14.23,-40.95,175.66,1554676784
149,Katsuura,JP,54.0,87,20,5.82,33.93,134.5,1554676499
150,Mumford,GH,80.76,85,36,9.19,5.26,-0.76,1554676958
151,Kavaratti,IN,84.9,100,0,6.85,10.57,72.64,1554676959
152,Khartoum,SD,86.0,13,0,5.82,15.59,32.54,1554674400
153,Pacific Grove,US,79.0,59,1,5.82,36.62,-121.92,1554676952
154,Concepcion,CO,84.63,68,100,1.92,9.56,-73.66,1554676962
155,Kruisfontein,ZA,64.74,79,44,13.11,-34.0,24.73,1554676963
156,Alice Springs,AU,69.8,37,0,2.24,-23.7,133.88,1554676200
157,Vilhena,BR,69.8,94,20,9.17,-12.74,-60.15,1554674400
158,Ilulissat,GL,39.2,48,44,16.11,69.22,-51.1,1554673800
159,Qazvin,IR,48.2,100,90,2.24,36.28,50.01,1554674400
160,Mandera,ET,88.0,19,20,6.85,3.94,41.86,1554676296
161,Aklavik,CA,19.4,48,40,2.24,68.22,-135.01,1554674400
162,Hosakote,IN,67.62,83,0,3.04,16.06,75.46,1554676972
163,Linxia,CN,34.68,83,0,3.15,35.6,103.21,1554676821
164,Bara,NG,86.7,42,64,15.23,10.41,10.6,1554676895
165,Taganak,PH,78.8,94,75,5.82,6.08,118.3,1554670800
166,Labytnangi,RU,11.91,68,0,3.38,66.66,66.39,1554676977
167,Lagoa,PT,60.8,87,40,9.17,37.14,-8.45,1554676645
168,Batemans Bay,AU,69.01,76,0,3.38,-35.71,150.18,1554676766
169,Kuopio,FI,33.8,69,0,1.12,62.89,27.68,1554673800
170,Konskie,PL,46.0,1,0,2.93,51.19,20.41,1554676909
171,Cidreira,BR,68.34,98,100,10.2,-30.17,-50.22,1554676983
172,Luderitz,NA,57.72,92,0,12.33,-26.65,15.16,1554676984
173,Burnie,AU,61.0,79,80,22.95,-41.05,145.91,1554676923
174,Soyo,AO,79.32,95,88,2.37,-6.13,12.37,1554676986
175,Tasiilaq,GL,32.0,93,92,25.28,65.61,-37.64,1554673800
176,Port Lincoln,AU,65.82,89,92,18.25,-34.72,135.86,1554676784
177,Porto Walter,BR,75.99,71,12,3.38,-8.27,-72.74,1554676990
178,Esperance,TT,82.4,61,20,9.17,10.24,-61.45,1554676807
179,Straubing,DE,48.0,100,1,6.51,48.88,12.57,1554676925
180,Amalapuram,IN,75.99,85,0,3.04,16.58,82.0,1554676979
181,Mayna,RU,24.96,81,88,2.37,53.0,91.49,1554676995
182,Ahuimanu,US,82.0,51,20,10.29,21.44,-157.84,1554676683
183,Afyonkarahisar,TR,50.0,94,24,1.99,38.76,30.53,1554673800
184,Qeshm,IR,77.0,65,0,4.7,26.96,56.27,1554674400
185,Lewiston,US,57.2,71,90,14.99,46.42,-117.02,1554676786
186,Huaraz,PE,42.24,96,92,0.36,-9.53,-77.53,1554676705
187,Quatre Cocos,MU,80.6,78,20,11.41,-20.21,57.76,1554676739
188,Sydney,AU,78.01,56,0,5.82,-33.85,151.22,1554676863
189,Kloulklubed,PW,81.66,99,76,13.22,7.04,134.26,1554676741
190,Poyarkovo,RU,37.11,49,0,7.29,49.62,128.65,1554677007
191,Garowe,SO,68.43,90,0,5.95,8.41,48.48,1554677008
192,Iqaluit,CA,21.0,85,90,25.28,63.75,-68.52,1554674400
193,General Roca,AR,82.4,45,0,2.48,-39.03,-67.58,1554674400
194,Khatanga,RU,3.72,62,8,3.71,71.98,102.47,1554677011
195,Chuy,UY,60.87,90,0,5.73,-33.69,-53.46,1554677013
196,Dikson,RU,13.44,100,64,7.29,73.51,80.55,1554677014
197,Bratsk,RU,28.4,58,44,11.18,56.15,101.63,1554676200
198,Bambous Virieux,MU,80.6,78,20,11.41,-20.34,57.76,1554676739
199,Bundaberg,AU,78.01,73,48,8.05,-24.87,152.35,1554676821
200,Viedma,AR,67.26,51,0,8.52,-40.81,-62.99,1554677019
201,Tabou,CI,80.67,100,36,10.76,4.42,-7.36,1554677020
202,Constitucion,MX,75.2,11,20,5.82,23.99,-104.67,1554676816
203,Mount Gambier,AU,55.4,100,90,10.29,-37.83,140.78,1554674400
204,Mpongwe,ZM,68.16,69,20,6.17,-13.51,28.16,1554677024
205,Airai,TL,75.99,79,0,1.25,-8.93,125.41,1554677026
206,Salalah,OM,78.8,83,20,2.24,17.01,54.1,1554673800
207,Chokurdakh,RU,15.69,100,24,4.38,70.62,147.9,1554677028
208,Danielskuil,ZA,57.72,91,0,13.67,-28.19,23.54,1554677029
209,Port Elizabeth,US,68.0,55,1,8.05,39.31,-74.98,1554677019
210,Lat Yao,TH,71.94,92,8,2.15,15.75,99.79,1554677033
211,Kaseda,JP,57.2,100,20,11.41,31.42,130.32,1554674400
212,Mayo,CA,35.6,74,75,5.82,63.59,-135.9,1554675900
213,Sheltozero,RU,22.08,68,8,4.72,61.37,35.37,1554677038
214,Fortuna,ES,61.0,51,20,8.05,38.18,-1.13,1554677022
215,Gaoual,GN,86.07,30,32,8.3,11.75,-13.2,1554677041
216,Teguise,ES,64.4,77,20,4.7,29.06,-13.56,1554674400
217,Tokur,RU,29.64,69,32,3.15,53.13,132.9,1554677044
218,Fairfield,US,77.0,56,1,8.05,38.25,-122.04,1554677031
219,San Andres,PH,80.31,100,12,9.19,13.32,122.68,1554677047
220,Sorland,NO,37.56,100,64,12.55,67.67,12.69,1554677048
221,Poum,MK,45.57,99,92,1.92,41.28,20.71,1554677050
222,Cairo,EG,71.01,56,80,5.82,30.05,31.24,1554676200
223,Salym,RU,29.64,97,8,6.62,60.06,71.48,1554677127
224,Ormara,PK,75.99,91,0,9.31,25.21,64.64,1554677129
225,Poopo,BO,48.27,81,0,2.93,-18.38,-66.97,1554677130
226,Namie,JP,46.0,41,75,11.41,37.52,140.86,1554676797
227,Ornskoldsvik,SE,32.0,86,90,14.99,63.29,18.72,1554673800
228,Mocuba,MZ,71.94,94,0,3.04,-16.84,36.99,1554677135
229,Morondava,MG,77.61,100,0,2.93,-20.3,44.28,1554677136
230,Chicama,PE,68.0,94,90,8.05,-7.84,-79.15,1554674400
231,Chipinge,ZW,68.07,88,48,2.82,-20.19,32.62,1554677138
232,Homer,US,52.0,70,90,5.82,59.64,-151.54,1554676860
233,Murgab,TM,57.2,87,32,6.93,37.5,61.97,1554674400
234,Tilichiki,RU,26.22,89,0,4.16,60.47,166.1,1554677120
235,Miles City,US,66.2,29,75,21.92,46.41,-105.84,1554673980
236,Petropavlovka,RU,29.19,57,76,2.71,50.61,105.32,1554677145
237,Inirida,CO,83.1,71,76,3.49,3.87,-67.92,1554677149
238,Bubaque,GW,81.12,96,24,12.21,11.28,-15.83,1554677150
239,Abha,SA,64.4,55,0,2.59,18.22,42.5,1554674400
240,Bridgewater,US,62.01,50,1,11.41,41.99,-70.98,1554677044
241,Pisco,PE,71.6,30,0,11.41,-13.71,-76.2,1554674400
242,Clarksburg,US,73.4,49,90,11.41,39.28,-80.34,1554676555
243,Ostrovnoy,RU,24.15,86,88,6.73,68.05,39.51,1554677155
244,Alofi,NU,86.0,70,8,9.17,-19.06,-169.92,1554674400
245,Bathsheba,BB,78.8,74,40,16.11,13.22,-59.52,1554674400
246,Malinao,PH,78.24,84,48,3.71,11.64,122.31,1554677160
247,Barrow,AR,69.87,44,0,11.21,-38.31,-60.23,1554677161
248,Batsfjord,NO,24.8,79,40,11.41,70.63,29.72,1554675600
249,Along,IN,56.28,78,68,1.59,28.17,94.8,1554677164
250,Hambantota,LK,78.8,100,0,3.36,6.12,81.12,1554671400
251,Moerai,PF,77.61,100,64,14.0,-22.43,-151.33,1554677166
252,Shache,CN,44.31,66,68,3.38,38.42,77.24,1554677167
253,Galich,RU,28.65,81,0,7.4,58.38,42.35,1554677168
254,Laguna,MX,89.6,24,5,18.34,27.52,-110.01,1554673200
255,Hervey Bay,AU,78.01,73,44,8.05,-25.3,152.85,1554677121
256,San Patricio,PY,65.91,72,20,3.94,-26.98,-56.83,1554677174
257,Nyurba,RU,27.3,66,8,6.4,63.29,118.35,1554677175
258,Changde,CN,70.95,76,0,5.5,29.04,111.68,1554677176
259,Chandpur,IN,66.09,74,0,4.27,29.14,78.27,1554677177
260,Mecca,SA,69.51,66,0,2.59,21.43,39.83,1554677178
261,Mahon,IE,46.4,93,75,16.11,51.89,-8.4,1554674400
262,Bo Phloi,TH,84.99,65,0,2.71,14.32,99.52,1554677088
263,Kaitangata,NZ,57.0,55,0,5.01,-46.28,169.85,1554677158
264,Morehead,US,66.2,88,40,8.05,38.18,-83.43,1554677175
265,Pevek,RU,5.52,99,12,5.06,69.7,170.27,1554677184
266,Igarka,RU,13.62,74,12,10.42,67.47,86.57,1554677185
267,Mama,MX,97.0,30,75,16.11,20.48,-89.36,1554677168
268,Azuaga,ES,50.0,92,92,5.99,38.26,-5.68,1554676228
269,Vardo,US,69.8,52,90,13.87,39.62,-77.74,1554677012
270,Bitung,ID,75.2,94,20,6.62,1.44,125.19,1554676200
271,Zalantun,CN,37.47,60,24,6.51,48.0,122.72,1554677191
272,Khodz,RU,41.16,90,0,3.49,44.52,40.71,1554677193
273,San Isidro,PH,76.53,96,48,3.27,16.74,121.63,1554677195
274,Gold Coast,AU,77.0,64,0,9.17,-28.0,153.41,1554677049
275,Alekseyevskoye,RU,43.14,95,64,6.51,45.2,43.58,1554677199
276,Shakhtinsk,KZ,24.8,100,0,8.95,49.71,72.59,1554676200
277,Kathu,ZA,59.0,97,0,12.44,-27.7,23.05,1554677135
278,Touros,BR,80.6,88,40,4.7,-5.2,-35.46,1554674400
279,Isangel,VU,80.6,65,20,9.19,-19.55,169.27,1554674400
280,Nhulunbuy,AU,78.8,94,92,4.7,-12.18,136.78,1554676200
281,Taywarah,AF,30.45,84,0,2.59,33.35,64.42,1554677207
282,Paita,PE,62.6,290,0,8.05,-5.09,-81.11,1554674400
283,Ancud,CL,64.4,77,75,6.93,-41.87,-73.83,1554674400
284,Vila Franca do Campo,PT,55.4,66,75,5.82,37.72,-25.43,1554677163
285,Bilibino,RU,21.18,71,0,0.92,68.06,166.44,1554677212
286,San Quintin,PH,78.33,81,0,3.71,17.54,120.52,1554677213
287,Hami,CN,44.85,62,92,4.16,42.84,93.51,1554677215
288,Yining,CN,70.41,85,20,3.6,29.04,114.56,1554677217
289,Xam Nua,LA,63.03,90,0,1.92,20.42,104.04,1554677219
290,Sulangan,PH,81.12,100,12,11.21,11.14,123.72,1554677220
291,Bodden Town,KY,84.99,66,40,12.75,19.28,-81.25,1554676204
292,Tugulym,RU,35.6,69,0,6.71,57.06,64.64,1554676200
293,Portland,US,54.0,81,90,2.59,45.52,-122.67,1554676746
294,Woodland,US,55.0,81,90,2.71,45.91,-122.74,1554677226
295,Belmonte,PT,52.0,83,92,10.0,40.36,-7.35,1554677204
296,Muisne,EC,82.4,78,40,5.82,0.61,-80.02,1554674400
297,Berdigestyakh,RU,28.56,62,12,4.38,62.1,126.7,1554677231
298,Shenjiamen,CN,60.42,91,0,5.84,29.96,122.3,1554677232
299,Benguela,AO,77.52,100,32,5.61,-12.58,13.4,1554677233
300,Aripuana,BR,77.61,88,64,2.37,-9.17,-60.63,1554677104
301,Aitape,PG,81.48,95,48,2.59,-3.15,142.36,1554677235
302,Eyemouth,GB,44.6,93,12,10.29,55.87,-2.09,1554677189
303,Iracoubo,GF,79.14,72,100,5.84,5.48,-53.21,1554677238
304,Tadine,NC,77.7,96,48,4.72,-21.55,167.88,1554677239
305,West Bay,GB,48.99,87,32,3.36,50.71,-2.76,1554677231
306,Bundi,IN,65.64,70,0,1.7,25.44,75.64,1554677241
307,Honiara,SB,81.84,86,68,2.15,-9.43,159.96,1554677242
308,Port Macquarie,AU,75.0,68,36,2.24,-31.43,152.91,1554677105
309,Progreso,UY,68.0,82,0,0.69,-34.68,-56.22,1554677157
310,Goba,ET,45.12,77,0,2.59,7.01,39.97,1554677246
311,Acapulco,MX,82.4,74,75,8.05,16.86,-99.88,1554673680
312,Lang Son,VN,74.01,96,92,7.74,21.83,106.73,1554677249
313,Xianshuigu,CN,48.2,45,0,8.95,38.98,117.38,1554676200
314,Fairbanks,US,54.0,34,1,7.29,64.84,-147.72,1554677046
315,Nieuw Amsterdam,SR,82.4,61,20,11.41,5.88,-55.08,1554677113
316,Ergani,TR,52.0,93,75,2.48,38.27,39.76,1554675600
317,Nizwa,OM,66.09,33,24,1.03,22.93,57.53,1554677031
318,Bairnsdale,AU,66.36,77,8,3.27,-37.83,147.63,1554677257
319,Masuda,JP,55.99,82,40,3.36,34.68,131.85,1554676575
320,Caravelas,BR,83.28,95,0,13.22,-17.73,-39.27,1554677260
321,Maniitsoq,GL,28.2,83,88,5.61,65.42,-52.9,1554677261
322,Jumla,NP,28.11,78,0,1.81,29.28,82.18,1554677262
323,Ilo,PE,66.63,88,0,2.37,-17.65,-71.34,1554677263
324,Venado Tuerto,AR,62.01,29,0,1.99,-33.75,-61.97,1554677170
325,Pondicherry,ZA,64.99,93,0,4.7,-34.04,18.35,1554677175
326,Narsaq,GL,32.0,85,92,2.37,60.91,-46.05,1554673800
327,Cervo,BR,65.19,94,44,3.15,-22.19,-46.24,1554677271
328,Kishi,NG,74.19,95,64,10.2,9.08,3.85,1554677272
329,Sirjan,IR,53.04,64,76,3.94,29.44,55.67,1554677273
330,Copiapo,CL,64.4,68,20,9.17,-27.37,-70.33,1554674400
331,Lufilufi,WS,89.6,70,40,12.75,-13.87,-171.6,1554674400
332,Namatanai,PG,80.76,100,76,9.64,-3.66,152.44,1554677277
333,Lasa,CY,59.0,87,0,3.36,34.92,32.53,1554676270
334,Kuryk,KZ,50.34,95,92,10.2,43.18,51.68,1554677279
335,Harper,US,73.0,63,1,5.82,30.3,-99.24,1554677202
336,Krasnyy Kut,RU,44.94,81,36,12.1,47.1,40.67,1554677283
337,Matay,EG,77.97,35,92,14.0,28.42,30.79,1554677284
338,Tuatapere,NZ,55.99,76,48,5.39,-46.13,167.69,1554676807
339,Paris,FR,53.01,62,0,8.75,48.86,2.35,1554677254
340,Uglekamensk,RU,41.07,49,44,2.82,43.22,133.23,1554677185
341,Balkhash,KZ,35.31,77,0,15.23,46.84,74.98,1554677289
342,Castro,CL,64.4,77,75,6.93,-42.48,-73.76,1554674400
343,Havre-Saint-Pierre,CA,21.2,31,20,18.34,50.23,-63.6,1554674400
344,Ihosy,MG,58.17,93,36,3.15,-22.4,46.13,1554677293
345,Kysyl-Syr,RU,25.41,72,0,4.61,63.9,122.77,1554677294
346,Ulladulla,AU,71.6,46,0,4.7,-35.36,150.48,1554677233
347,Brunico,IT,50.0,71,90,1.12,46.8,11.94,1554676240
348,Tondano,ID,75.2,94,20,1.59,1.3,124.91,1554676200
349,Halifax,CA,51.01,49,40,18.34,44.65,-63.58,1554674400
350,Kingsville,US,66.0,72,75,10.29,39.45,-76.42,1554677282
351,Santa Cruz de Tenerife,ES,66.2,93,40,5.82,28.47,-16.25,1554677190
352,Vuktyl,RU,35.04,99,92,4.83,63.86,57.31,1554677302
353,Cayenne,GF,77.0,88,75,5.82,4.94,-52.33,1554676200
354,Rorvik,NO,30.99,68,0,12.44,64.86,11.24,1554677102
355,Neiafu,TO,84.2,79,75,6.93,-18.65,-173.98,1554674400
356,Kamenka,RU,34.0,70,20,3.15,53.19,44.05,1554676860
357,Bandrele,YT,80.6,88,0,2.24,-12.91,45.19,1554674400
358,Omboue,GA,83.82,100,88,4.72,-1.57,9.26,1554677309
359,Elko,US,64.99,31,1,18.34,40.83,-115.76,1554677293
360,Mattru,SL,79.32,82,80,4.83,7.62,-11.83,1554677312
361,Nago,IT,51.8,87,40,2.24,45.88,10.89,1554677304
362,Kokoda,PG,71.76,86,32,2.15,-8.88,147.74,1554677314
363,Svetlogorsk,RU,33.8,80,36,4.47,53.14,59.15,1554676200
364,Veselynove,UA,47.46,69,56,7.74,47.36,31.24,1554677316
365,Brighton,GB,53.01,93,75,2.24,50.82,-0.14,1554677135
366,Nouadhibou,MR,64.4,72,36,16.11,20.93,-17.03,1554674400
367,Vestmannaeyjar,IS,37.38,93,36,17.69,63.44,-20.27,1554677320
368,Ewa Beach,US,82.99,61,1,9.17,21.32,-158.01,1554677284
369,Blytheville,US,69.01,82,75,11.41,35.93,-89.92,1554677193
370,Port Blair,IN,84.0,100,0,1.25,11.67,92.75,1554677326
371,Cap Malheureux,MU,80.6,78,20,11.41,-19.98,57.61,1554677039
372,Vagur,FO,44.31,100,36,27.09,61.47,-6.81,1554677328
373,Mar del Plata,AR,49.44,100,92,9.42,-46.43,-67.52,1554677329
374,Roald,NO,39.2,55,75,20.8,62.58,6.12,1554677204
375,Liepaja,LV,39.2,86,76,4.7,56.52,21.02,1554675600
376,Saint George,GR,55.4,82,75,5.82,39.45,22.34,1554673800
